x,epsilon
0,155.1513317
0.02,149.5641646
0.04,138.3898305
0.06,123.3474576
0.08,105.7263923
0.1,85.95641646
0.12,69.19491525
0.14,52.86319613
0.16,40.39951574
0.18,30.94430993
0.2,23.63801453
0.22,18.48062954
0.24,14.18280872
0.26,11.60411622
-0.02,151.7130751
-0.04,143.5472155
-0.06,128.0750605
-0.08,113.0326877
-0.1,93.69249395
-0.12,75.21186441
-0.14,60.16949153
-0.16,45.55690073
-0.18,34.81234867
-0.2,26.6464891
-0.22,18.91041162
-0.24,15.04237288
-0.26,12.03389831
